Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14",0402,2,22uF,C415703
"C10, C3, C4, C5, C6, C8",0402,6,0.1uF,C1525
"C11, C12",0402,2,12pF,C1547
"C13, C2, C7, C9",0402,4,1uF,C52923
D1,0603,1,2.6~3.1 Fv Green 5ma,C3028858
FB1,0402,1,"120ohm imp @100mhz, 1 amp",C82861
"J13, J16",TE_mezzanine_rec_3-2363961-0,2,TE 3-2363961-0 receptacle,C425103
"J14, J17",TE_mezzanine_conn_3-2363962-0,2,TE 3-2363962-0 Connector,C425104
R1,0402,1,100k,C25741
R10,0402,1,80.6 ohm,C185392
"R11, R18, R19, R2, R20, R7, R8, R9",0402,8,10k,C25744
"R3, R4, R5",0402,3,33ohm,C25105
R6,0402,1,22 ohm,C25092
"SW1, SW2",R-667995_MIT,2,Mitsumi R-667996,C4365007
U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,C3013940
U2,DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,1,74HC595,C730243
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,"ABM11-40.000MHZ-B1U-T3, 10ppm, 10pF",C648973
